車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
LS,情報なし,460 Fスポーツ 禁煙/記録簿15枚/全画面SDナビ/サンルーフ,181.5万円,2016(H28),11.8万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.936013,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,460 Fスポーツ マークレビンソン ムーンルーフ プリクラ,269.9万円,2014(H26),4.5万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.937061,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,460 バージョンC Iパッケージ 3眼LED 本革エアシート バックカメラ,143万円,2013(H25),11.1万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.938667,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500 Fスポーツ 全周囲カメラ サンルーフ クルコン HUD BSM,789.8万円,2021(R03),2.2万km,なし,フロアMTモード付10AT,3400CC,2025-06-17T12:21:27.939752,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h Iパッケージ 禁煙/新品21AWタイヤ/ウェザリアフルエアロ,389.8万円,2018(H30),9.9万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.940798,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h Fスポーツ サンルーフ モデリスタエアロ21インチ TRD,954.2万円,2021(R03),0.9万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.942894,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h エグゼクティブ 4WD マクレビ/サンルーフ/衝突軽減/HUD/BSM/ETC,589.9万円,2017(H29),6.5万km,なし,フロアCVT,3500CC,2025-06-17T12:21:29.651660,https://www.carsensor.net/usedcar/bLE/s005/index4.html
LS,情報なし,500h エグゼクティブ 全方位M　Dレコ　サンルーフ　黒革S　禁煙,569万円,2019(H31),7.5万km,なし,フロアCVT,3500CC,2025-06-17T12:21:29.652657,https://www.carsensor.net/usedcar/bLE/s005/index4.html
LS,情報なし,460 Fスポーツ 禁煙/サンルーフ/マークレビンソン/3眼LED,296.5万円,2015(H27),4.9万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:29.654002,https://www.carsensor.net/usedcar/bLE/s005/index4.html
LS,情報なし,460 バージョンC Iパッケージ メーカーナビ サンルーフ 黒革シート BSM,254.9万円,2015(H27),6.1万km,なし,フロア8AT,4600CC,2025-06-17T12:21:29.655052,https://www.carsensor.net/usedcar/bLE/s005/index4.html
LS,情報なし,500h Fスポーツ 4WD マクレビ ムーンルーフ,564.9万円,2017(H29),5.4万km,なし,フロアCVT,3500CC,2025-06-17T12:21:29.656113,https://www.carsensor.net/usedcar/bLE/s005/index4.html
