車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
RC,情報なし,300h バージョンL 本革 衝突軽減 禁煙車 純正ナビ Bカメラ,250.1万円,2015(H27),6.2万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.276814,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ 純正ナビ/バックカメラ/Bluetooth/フルセグ,244.9万円,2015(H27),7.9万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.277861,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300 Fスポーツ 後期 マークレビンソン PCS ACC BSM ETC,395.8万円,2019(H31),1.6万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:21:51.279409,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h 純正ナビ Bカメ ビルドインETC サンルーフ,269.8万円,2017(H29),7.4万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.280677,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,350 バージョンL サンルーフ 純正ナビ フルセグ Bカメラ,214万円,2015(H27),12万km,なし,フロア8AT,3500CC,2025-06-17T12:21:51.281942,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,350 バージョンL 社外Fリップ ナビ Bカメラ BBS19AW LOWDOWN,277万円,2016(H28),5.1万km,なし,フロアMTモード付8AT,3500CC,2025-06-17T12:21:51.283003,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,200t Fスポーツ 赤革シート　SR オレンジキャリパー,278万円,2016(H28),5.1万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:21:51.284136,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h バージョンL 衝突軽減 純正ナビ 三眼LED シートヒーター,299.8万円,2016(H28),4.5万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.286498,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ,327.1万円,2017(H29),6万km,なし,フロアCVT,2500CC,2025-06-17T12:21:51.287547,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ サンルーフ　ワークアルミ　ダウンサス,299.8万円,2015(H27),6.3万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.288543,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ ハイブリッド保証付き　トヨタ認定中古車,236.2万円,2015(H27),11.2万km,なし,フロアCVT,2500CC,2025-06-17T12:21:51.289689,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ 三眼ヘッドランプ 衝突軽減 追従クルコン,269.8万円,2017(H29),7.6万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.290821,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ 純正ナビ クルコン ETC エアシート,259.8万円,2015(H27),7.3万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.291869,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h バージョンL 純正ナビ ムーンルーフ クルコン,299.8万円,2015(H27),5万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.293965,https://www.carsensor.net/usedcar/bLE/s015/index3.html
